row_id,short_title,long_title
5069,Cerebrovasc disease NEC,Other ill-defined cerebrovascular disease
5070,Cerebrovasc disease NOS,Unspecified cerebrovascular disease
5071,Late ef CV dis-cognf def,"Late effects of cerebrovascular disease, cognitive deficits"
5072,Late ef-spch/lng def NOS,"Late effects of cerebrovascular disease, speech and language deficit, unspecified"
5073,Late eff CV dis-aphasia,"Late effects of cerebrovascular disease, aphasia"
5074,Late eff CV dis-dysphsia,"Late effects of cerebrovascular disease, dysphasia"
5075,Late eff CV-dysarthria,"Late effects of cerebrovascular disease, dysarthria"
5076,Late eff CV-fluency dis,"Late effects of cerebrovascular disease, fluency disorder"
5077,Late ef-spch/lang df NEC,"Late effects of cerebrovascular disease, other speech and language deficits"
5078,Late ef-hemplga side NOS,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side"
5079,Late ef-hemplga dom side,"Late effects of cerebrovascular disease, hemiplegia affecting dominant side"
5080,Late ef-hemiplga non-dom,"Late effects of cerebrovascular disease, hemiplegia affecting nondominant side"
5081,Late ef-mplga up lmb NOS,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting unspecified side"
5082,Late ef-mplga up lmb dom,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting dominant side"
5083,Lt ef-mplga uplmb nondom,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting nondominant side"
5084,Lte ef-mplga low lmb NOS,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting unspecified side"
5085,Lte ef-mplga low lmb dom,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting dominant side"
5086,Lt ef-mplga lowlmb nondm,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting nondominant side"
5087,Lt ef oth paral side NOS,"Late effects of cerebrovascular disease, other paralytic syndrome affecting unspecified side"
5088,Lt ef oth paral dom side,"Late effects of cerebrovascular disease, other paralytic syndrome affecting dominant side"
5089,Lt ef oth parals non-dom,"Late effects of cerebrovascular disease, other paralytic syndrome affecting nondominant side"
5090,Lt ef oth parals-bilat,"Late effects of cerebrovascular disease, other paralytic syndrome, bilateral"
5091,Alteration of sensations,"Late effects of cerebrovascular disease, alterations of sensations"
5092,Disturbances of vision,"Late effects of cerebrovascular disease, disturbances of vision"
5093,Late eff CV dis-apraxia,"Other late effects of cerebrovascular disease, apraxia"
5094,Late ef CV dis dysphagia,"Other late effects of cerebrovascular disease, dysphagia"
5095,Facial weakness,"Other late effects of cerebrovascular disease, facial weakness"
5096,Emphysema NEC,Other emphysema
5097,Extrinsic asthma NOS,"Extrinsic asthma, unspecified"
5098,Ext asthma w status asth,Extrinsic asthma with status asthmaticus
5099,Ext asthma w(acute) exac,Extrinsic asthma with (acute) exacerbation
5100,Intrinsic asthma NOS,"Intrinsic asthma, unspecified"
5101,Int asthma w status asth,Intrinsic asthma with status asthmaticus
5102,Int asthma w (ac) exac,Intrinsic asthma with (acute) exacerbation
5103,Chronic obst asthma NOS,"Chronic obstructive asthma, unspecified"
5104,Ch ob asthma w stat asth,Chronic obstructive asthma with status asthmaticus
5105,Ch obst asth w (ac) exac,Chronic obstructive asthma with (acute) exacerbation
5106,Exercse ind bronchospasm,Exercise induced bronchospasm
5107,Cough variant asthma,Cough variant asthma
5108,Asthma NOS,"Asthma, unspecified type, unspecified"
5109,Asthma w status asthmat,"Asthma, unspecified type, with status asthmaticus"
5110,Asthma NOS w (ac) exac,"Asthma, unspecified type, with (acute) exacerbation"
5111,Bronchiectas w/o ac exac,Bronchiectasis without acute exacerbation
5112,Bronchiectasis w ac exac,Bronchiectasis with acute exacerbation
5113,Farmers' lung,Farmers' lung
5114,Bagassosis,Bagassosis
5115,Bird-fanciers' lung,Bird-fanciers' lung
5116,Suberosis,Suberosis
5117,Malt workers' lung,Malt workers' lung
5118,Mushroom workers' lung,Mushroom workers' lung
5119,Mapl bark-stripprs' lung,Maple bark-strippers' lung
5120,"""ventilation"" pneumonit","""Ventilation"" pneumonitis"
5121,Allerg alveol/pneum NEC,Other specified allergic alveolitis and pneumonitis
5122,Allerg alveol/pneum NOS,Unspecified allergic alveolitis and pneumonitis
5123,Chr airway obstruct NEC,"Chronic airway obstruction, not elsewhere classified"
5124,Coal workers' pneumocon,Coal workers' pneumoconiosis
5125,Asbestosis,Asbestosis
5126,Silica pneumocon NEC,Pneumoconiosis due to other silica or silicates
5127,Inorg dust pneumocon NEC,Pneumoconiosis due to other inorganic dust
5128,Dust pneumonopathy NEC,Pneumonopathy due to inhalation of other dust
5129,Pneumoconiosis NOS,"Pneumoconiosis, unspecified"
5130,Fum/vapor bronc/pneumon,Bronchitis and pneumonitis due to fumes and vapors
5131,Fum/vapor ac pulm edema,Acute pulmonary edema due to fumes and vapors
5132,Fum/vapor up resp inflam,Upper respiratory inflammation due to fumes and vapors
5133,Fum/vap ac resp cond NEC,Other acute and subacute respiratory conditions due to fumes and vapors
5134,Fum/vapor chr resp cond,Chronic respiratory conditions due to fumes and vapors
5135,Fum/vapor resp cond NOS,Unspecified respiratory conditions due to fumes and vapors
5136,Food/vomit pneumonitis,Pneumonitis due to inhalation of food or vomitus
5137,Oil/essence pneumonitis,Pneumonitis due to inhalation of oils and essences
5138,Solid/liq pneumonit NEC,Pneumonitis due to other solids and liquids
5139,Ac pul manif d/t radiat,Acute pulmonary manifestations due to radiation
5140,Chr pul manif d/t radiat,Chronic and other pulmonary manifestations due to radiation
5141,Resp cond dt smoke inhal,Respiratory conditions due to smoke inhalation
5142,Resp cond: ext agent NEC,Respiratory conditions due to other specified external agents
5143,Resp cond: ext agent NOS,Respiratory conditions due to unspecified external agent
5144,Empyema with fistula,Empyema with fistula
5145,Empyema w/o fistula,Empyema without mention of fistula
5146,Pleurisy w/o effus or TB,Pleurisy without mention of effusion or current tuberculosis
5147,Bact pleur/effus not TB,"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis"
5148,Malignant pleural effusn,Malignant pleural effusion
5149,Effusion NEC exc tb,"Other specified forms of effusion, except tuberculous"
5150,Pleural effusion NOS,Unspecified pleural effusion
5151,Spont tens pneumothorax,Spontaneous tension pneumothorax
5152,Iatrogenic pneumothorax,Iatrogenic pneumothorax
5153,Postoperative air leak,Postoperative air leak
5154,Prim spont pneumothorax,Primary spontaneous pneumothorax
5155,Sec spont pneumothorax,Secondary spontaneous pneumothorax
5156,Chronic pneumothorax,Chronic pneumothorax
5157,Other air leak,Other air leak
5158,Other pneumothorax,Other pneumothorax
5159,Abscess of lung,Abscess of lung
5160,Abscess of mediastinum,Abscess of mediastinum
5161,Pulm congest/hypostasis,Pulmonary congestion and hypostasis
5162,Postinflam pulm fibrosis,Postinflammatory pulmonary fibrosis
5163,Pul alveolar proteinosis,Pulmonary alveolar proteinosis
5164,Idio pulm hemosiderosis,Idiopathic pulmonary hemosiderosis
5165,Pulm alveolar microlith,Pulmonary alveolar microlithiasis
5166,Idiopath inters pneu NOS,"Idiopathic interstitial pneumonia, not otherwise specified"
5167,Idiopath pulmon fibrosis,Idiopathic pulmonary fibrosis
5168,Idio non-spec inter pneu,Idiopathic non-specific interstitial pneumonitis
5169,Acute interstitial pneum,Acute interstitial pneumonitis
5170,Resp brncio interst lung,Respiratory bronchiolitis interstitial lung disease
5171,Idiopth lym interst pneu,Idiopathic lymphoid interstitial pneumonia
5172,Cryptogenic organiz pneu,Cryptogenic organizing pneumonia
5173,Desquamatv interst pneu,Desquamative interstitial pneumonia
5174,Lymphangioleiomyomatosis,Lymphangioleiomyomatosis
5175,Adlt pul Langs cell hist,Adult pulmonary Langerhans cell histiocytosis
5176,Neuroend cell hyprpl inf,Neuroendocrine cell hyperplasia of infancy
5177,Pulm interstitl glycogen,Pulmonary interstitial glycogenosis
5178,Surfactant mutation lung,Surfactant mutations of the lung
5179,Alv cap dysp w vn misaln,Alveolar capillary dysplasia with vein misalignment
5180,Oth intrst lung dis chld,Other interstitial lung diseases of childhood
5181,Alveol pneumonopathy NEC,Other specified alveolar and parietoalveolar pneumonopathies
5182,Alveol pneumonopathy NOS,Unspecified alveolar and parietoalveolar pneumonopathy
5183,Rheumatic pneumonia,Rheumatic pneumonia
5184,Syst sclerosis lung dis,Lung involvement in systemic sclerosis
5185,Acute chest syndrome,Acute chest syndrome
5186,Lung involv in oth dis,Lung involvement in other diseases classified elsewhere
5187,Ankylosis of teeth,Ankylosis of teeth
5188,Intrin posteruptv color,Intrinsic posteruptive color changes
5189,Cracked tooth,Cracked tooth
5190,Dis hard tiss teeth NEC,Other specific diseases of hard tissues of teeth
5191,Hard tiss dis teeth NOS,Unspecified disease of hard tissues of teeth
5192,Pulpitis,Pulpitis
5193,Necrosis of tooth pulp,Necrosis of the pulp
5194,Tooth pulp degeneration,Pulp degeneration
5195,Abn hard tiss-tooth pulp,Abnormal hard tissue formation in pulp
5196,Ac apical periodontitis,Acute apical periodontitis of pulpal origin
5197,Periapical abscess,Periapical abscess without sinus
5198,Chr apical periodontitis,Chronic apical periodontitis
5199,Periapical absc w sinus,Periapical abscess with sinus
5200,Radicular cyst,Radicular cyst
5201,Pulp/periapical dis NEC,Other and unspecified diseases of pulp and periapical tissues
5202,"Acute gingititis, plaque","Acute gingivitis, plaque induced"
5203,"Ac gingivitis,nonplaque","Acute gingivitis, non-plaque induced"
5204,"Chronc gingititis,plaque","Chronic gingivitis, plaque induced"
5205,Chr gingivitis-nonplaque,"Chronic gingivitis, non-plaque induced"
5206,Gingival recession NOS,"Gingival recession, unspecified"
5207,Gingival recess-minimal,"Gingival recession, minimal"
5208,Gingival recess-moderate,"Gingival recession, moderate"
5209,Gingival recess-severe,"Gingival recession, severe"
5210,Gingival recession-local,"Gingival recession, localized"
5211,Gingival recess-general,"Gingival recession, generalized"
5212,Aggres periodontitis NOS,"Aggressive periodontitis, unspecified"
5213,"Aggres periodontitis,loc","Aggressive periodontitis, localized"
5214,"Aggres periodontitis,gen","Aggressive periodontitis, generalized"
5215,Acute periodontitis,Acute periodontitis
5216,Chronc periodontitis NOS,"Chronic periodontitis, unspecified"
5217,"Chr periodontitis, local","Chronic periodontitis, localized"
5218,"Chron periodontitis,gen","Chronic periodontitis, generalized"
5219,Periodontosis,Periodontosis
5220,Accretions on teeth,Accretions on teeth
5221,Periodontal disease NEC,Other specified periodontal diseases
5222,Gingiv/periodont dis NOS,Unspecified gingival and periodontal disease
5223,Unspcf anomaly jaw size,"Major anomalies of jaw size, unspecified anomaly"
5224,Maxillary hyperplasia,"Major anomalies of jaw size, maxillary hyperplasia"
5225,Mandibular hyperplasia,"Major anomalies of jaw size, mandibular hyperplasia"
5226,Maxillary hypoplasia,"Major anomalies of jaw size, maxillary hypoplasia"
5227,Mandibular hypoplasia,"Major anomalies of jaw size, mandibular hypoplasia"
5228,Macrogenia,"Major anomalies of jaw size, macrogenia"
5229,Microgenia,"Major anomalies of jaw size, microgenia"
5230,Excessive tuberosity-jaw,Excessive tuberosity of jaw
5231,Oth spcf anmly jaw size,"Major anomalies of jaw size, other specified anomaly"
5232,Unspcf anm jaw cranl bse,"Anomalies of relationship of jaw to cranial base, unspecified anomaly"
5233,Maxillary asymmetry,"Anomalies of relationship of jaw to cranial base, maxillary asymmetry"
5234,Other jaw asymmetry,"Anomalies of relationship of jaw to cranial base, other jaw asymmetry"
5235,Spcfd anom jaw cranl bse,"Anomalies of relationship of jaw to cranial base, other specified anomaly"
5236,Anomaly dental arch NOS,Unspecified anomaly of dental arch relationship
5237,Malocc- Angle's class I,"Malocclusion, Angle's class I"
5238,Malocc-Angle's class II,"Malocclusion, Angle's class II"
5239,Malocc-Angle's class III,"Malocclusion, Angle's class III"
5240,Open anterior occlusion,Open anterior occlusal relationship
5241,Open posterior occlusion,Open posterior occlusal relationship
5242,Excess horizontl overlap,Excessive horizontal overlap
5243,Reverse articulation,Reverse articulation
5244,Anom interarch distance,Anomalies of interarch distance
5245,Anomaly dental arch NEC,Other anomalies of dental arch relationship
5246,Tooth position anom NOS,Unspecified anomaly of tooth position
5247,Crowding of teeth,Crowding of teeth
5248,Excessive spacing-teeth,Excessive spacing of teeth
5249,Horizontl displace-teeth,Horizontal displacement of teeth
5250,Vertical displace-teeth,Vertical displacement of teeth
5251,Rotation of teeth,Rotation of tooth/teeth
5252,Insuf interocclusl-teeth,Insufficient interocclusal distance of teeth (ridge)
5253,Exces interocclusl-teeth,Excessive interocclusal distance of teeth
5254,Tooth position anom NEC,Other anomalies of tooth position
5255,Malocclusion NOS,"Malocclusion, unspecified"
5256,Dentofac funct abnor NOS,"Dentofacial functional abnormality, unspecified"
5257,Abnormal jaw closure,Abnormal jaw closure
5258,Limited mandibular ROM,Limited mandibular range of motion
5259,Dev open/close mandible,Deviation in opening and closing of the mandible
5260,Insuff anterior guidance,Insufficient anterior guidance
5261,Centric occl intrcsp dis,Centric occlusion maximum intercuspation discrepancy
5262,Nonwork side interfrnce,Non-working side interference
5263,Lack post occlsl support,Lack of posterior occlusal support
5264,Dentofac funct abnor NEC,Other dentofacial functional abnormalities
5265,TMJ disorders NOS,"Temporomandibular joint disorders, unspecified"
5266,Adhesns/ankylosis - TMJ,"Temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)"
5267,Arthralgia TMJ,"Temporomandibular joint disorders, arthralgia of temporomandibular joint"
5268,Articular disc disorder,"Temporomandibular joint disorders, articular disc disorder (reducing or non-reducing)"
5269,Pulmonary collapse,Pulmonary collapse
5270,Interstitial emphysema,Interstitial emphysema
5271,Compensatory emphysema,Compensatory emphysema
5272,Pulmonary eosinophilia,Pulmonary eosinophilia
5273,Acute lung edema NOS,"Acute edema of lung, unspecified"
5274,Ac resp flr fol trma/srg,Acute respiratory failure following trauma and surgery
5275,Ot pul insuf fol trm/srg,"Other pulmonary insufficiency, not elsewhere classified, following trauma and surgery"
5276,Ac/chr rsp flr fol tr/sg,Acute and chronic respiratory failure following trauma and surgery
5277,Alrgc brncpul asprglosis,Allergic bronchopulmonary aspergillosis
5278,Transfsn rel ac lung inj,Transfusion related acute lung injury (TRALI)
5279,Acute respiratry failure,Acute respiratory failure
5280,Other pulmonary insuff,"Other pulmonary insufficiency, not elsewhere classified"
5281,Chronic respiratory fail,Chronic respiratory failure
5282,Acute & chronc resp fail,Acute and chronic respiratory failure
5283,Other lung disease NEC,"Other diseases of lung, not elsewhere classified"
5284,Tracheostomy comp NOS,"Tracheostomy complication, unspecified"
5285,Tracheostomy infection,Infection of tracheostomy
5286,Tracheostomy - mech comp,Mechanical complication of tracheostomy
5287,Tracheostomy comp NEC,Other tracheostomy complications
5288,Acute bronchospasm,Acute bronchospasm
5289,Trachea & bronch dis NEC,Other diseases of trachea and bronchus
5290,Mediastinitis,Mediastinitis
5291,Mediastinum disease NEC,"Other diseases of mediastinum, not elsewhere classified"
5292,Disorders of diaphragm,Disorders of diaphragm
5293,Resp system disease NEC,"Other diseases of respiratory system, not elsewhere classified"
5294,Resp system disease NOS,Unspecified disease of respiratory system
5295,Anodontia,Anodontia
5296,Supernumerary teeth,Supernumerary teeth
5297,Abnormal tooth size/form,Abnormalities of size and form of teeth
5298,Mottled teeth,Mottled teeth
5299,Tooth formation disturb,Disturbances of tooth formation
5300,Heredit tooth struct NEC,"Hereditary disturbances in tooth structure, not elsewhere classified"
5301,Tooth eruption disturb,Disturbances in tooth eruption
5302,Teething syndrome,Teething syndrome
5303,Tooth devel/erup dis NEC,Other specified disorders of tooth development and eruption
5304,Tooth devel/erup dis NOS,Unspecified disorder of tooth development and eruption
5305,Dental caries NOS,"Dental caries, unspecified"
5306,Dental caries - enamel,Dental caries limited to enamel
5307,Dental caries - dentine,Dental caries extending into dentine
5308,Dental caries - pulp,Dental caries extending into pulp
5309,Dental caries - arrested,Arrested dental caries
5310,Odontoclasia,Odontoclasia
5311,Dentl caries-pit/fissure,Dental caries pit and fissure
5312,Dentl caries-smooth surf,Dental caries of smooth surface
5313,Dental caries-root surf,Dental caries of root surface
5314,Dental caries NEC,Other dental caries
5315,Excessive attrition NOS,"Excessive attrition, unspecified"
5316,Excess attrition-enamel,"Excessive attrition, limited to enamel"
5317,Excess attrition-dentine,"Excessive attrition, extending into dentine"
5318,Excessive attrition-pulp,"Excessive attrition, extending into pulp"
5319,Excess attrition-local,"Excessive attrition, localized"
5320,Excess attrition-general,"Excessive attrition, generalized"
5321,Abrasion NOS,"Abrasion, unspecified"
5322,Abrasion-enamel,"Abrasion, limited to enamel"
5323,Abrasion-dentine,"Abrasion, extending into dentine"
5324,Abrasion-pulp,"Abrasion, extending into pulp"
5325,Abrasion-localized,"Abrasion, localized"
5326,Abrasion-generalized,"Abrasion, generalized"
5327,Erosion NOS,"Erosion, unspecified"
5328,Erosion-enamel,"Erosion, limited to enamel"
5329,Erosion-dentine,"Erosion, extending into dentine"
5330,Erosion-pulp,"Erosion, extending into pulp"
5331,Erosion-localized,"Erosion, localized"
5332,Erosion-generalized,"Erosion, generalized"
5333,Path resorption NOS,"Pathological resorption, unspecified"
5334,Path resorption-internal,"Pathological resorption, internal"
5335,Path resorption-external,"Pathological resorption, external"
5336,Path resorption NEC,Other pathological resorption
5337,Hypercementosis,Hypercementosis
5338,Ac DVT/embl low ext NOS,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity
5339,Ac DVT/emb prox low ext,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity
5340,Ac DVT/emb distl low ext,Acute venous embolism and thrombosis of deep vessels of distal lower extremity
5341,Ch DVT/embl low ext NOS,Chronic venous embolism and thrombosis of unspecified deep vessels of lower extremity
5342,Ch DVT/embl prox low ext,Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity
5343,Ch DVT/embl dstl low ext,Chronic venous embolism and thrombosis of deep vessels of distal lower extremity
5344,Embl suprfcl ves low ext,Venous embolism and thrombosis of superficial vessels of lower extremity
5345,Ch emblsm suprfcl up ext,Chronic venous embolism and thrombosis of superficial veins of upper extremity
5346,Ch DVT/embl up ext,Chronic venous embolism and thrombosis of deep veins of upper extremity
5347,Ch emblsm up ext NOS,"Chronic venous embolism and thrombosis of upper extremity, unspecified"
5348,Ch emblsm axillary veins,Chronic venous embolism and thrombosis of axillary veins
5349,Ch emblsm subclav veins,Chronic venous embolism and thrombosis of subclavian veins
5350,Ch embl internl jug vein,Chronic venous embolism and thrombosis of internal jugular veins
5351,Ch embl thorac vein NEC,Chronic venous embolism and thrombosis of other thoracic veins
5352,Ch emblsm veins NEC,Chronic venous embolism and thrombosis of other specified veins
5353,Ac embl suprfcl up ext,Acute venous embolism and thrombosis of superficial veins of upper extremity
5354,Ac DVT/embl up ext,Acute venous embolism and thrombosis of deep veins of upper extremity
5355,Ac emblsm up ext NOS,"Acute venous embolism and thrombosis of upper extremity, unspecified"
5356,Ac emblsm axillary veins,Acute venous embolism and thrombosis of axillary veins
5357,Ac embl subclav veins,Acute venous embolism and thrombosis of subclavian veins
5358,Ac embl internl jug vein,Acute venous embolism and thrombosis of internal jugular veins
5359,Ac embl thorac vein NEC,Acute venous embolism and thrombosis of other thoracic veins
5360,Ac embolism veins NEC,Acute venous embolism and thrombosis of other specified veins
5361,Venous thrombosis NOS,Other venous embolism and thrombosis of unspecified site
5362,Leg varicosity w ulcer,Varicose veins of lower extremities with ulcer
5363,Leg varicosity w inflam,Varicose veins of lower extremities with inflammation
5364,Varicos leg ulcer/inflam,Varicose veins of lower extremities with ulcer and inflammation
5365,"Varic vein leg,comp NEC",Varicose veins of lower extremities with other complications
5366,Asympt varicose veins,Asymptomatic varicose veins
5367,Int hemorrhoid w/o compl,Internal hemorrhoids without mention of complication
5368,Int thrombos hemorrhoid,Internal thrombosed hemorrhoids
5369,Int hemrrhoid w comp NEC,Internal hemorrhoids with other complication
5370,Ext hemorrhoid w/o compl,External hemorrhoids without mention of complication
5371,Ext thrombos hemorrhoid,External thrombosed hemorrhoids
5372,Ext hemrrhoid w comp NEC,External hemorrhoids with other complication
5373,Hemorrhoids NOS,Unspecified hemorrhoids without mention of complication
5374,Thrombos hemorrhoids NOS,Unspecified thrombosed hemorrhoids
5375,Hemrrhoid NOS w comp NEC,Unspecified hemorrhoids with other complication
5376,Residual hemorrhoid tags,Residual hemorrhoidal skin tags
5377,Esophag varices w bleed,Esophageal varices with bleeding
5378,Esoph varices w/o bleed,Esophageal varices without mention of bleeding
5379,Bleed esoph var oth dis,"Esophageal varices in diseases classified elsewhere, with bleeding"
5380,Esoph varice oth dis NOS,"Esophageal varices in diseases classified elsewhere, without mention of bleeding"
5381,Sublingual varices,Sublingual varices
5382,Scrotal varices,Scrotal varices
5383,Pelvic varices,Pelvic varices
5384,Vulval varices,Vulval varices
5385,Varices of other sites,Varices of other sites
5386,Postmastect lymphedema,Postmastectomy lymphedema syndrome
5387,Other lymphedema,Other lymphedema
5388,Lymphangitis,Lymphangitis
5389,Noninfect lymph dis NEC,Other noninfectious disorders of lymphatic channels
5390,Noninfect lymph dis NOS,Unspecified noninfectious disorder of lymphatic channels
5391,Orthostatic hypotension,Orthostatic hypotension
5392,Chronic hypotension,Chronic hypotension
5393,Hemododialysis hypotensn,Hypotension of hemodialysis
5394,Iatrogenc hypotnsion NEC,Other iatrogenic hypotension
5395,Hypotension NEC,Other specified hypotension
5396,Hypotension NOS,"Hypotension, unspecified"
5397,Hemorrhage NOS,"Hemorrhage, unspecified"
5398,Postphlbtc synd w/o comp,Postphlebetic syndrome without complications
5399,Postphlebtc synd w ulcer,Postphlebetic syndrome with ulcer
5400,Postphlebtc syn w inflam,Postphlebetic syndrome with inflammation
5401,Postphl syn w ulc&inflam,Postphlebetic syndrome with ulcer and inflammation
5402,Postphleb synd comp NEC,Postphlebetic syndrome with other complication
5403,Compression of vein,Compression of vein
5404,Chr venous hypr w/o comp,Chronic venous hypertension without complications
5405,Chr venous hyper w ulcer,Chronic venous hypertension with ulcer
5406,Chr venous hypr w inflam,Chronic venous hypertension with inflammation
5407,Chr ven hyp w ulc&inflam,Chronic venous hypertension with ulcer and inflammation
5408,Chr venous hyp comp NEC,Chronic venous hypertension with other complication
5409,Venous insufficiency NOS,"Venous (peripheral) insufficiency, unspecified"
5410,Circulatory disease NEC,Other specified disorders of circulatory system
5411,Circulatory disease NOS,Unspecified circulatory system disorder
5412,Acute nasopharyngitis,Acute nasopharyngitis [common cold]
5413,Ac maxillary sinusitis,Acute maxillary sinusitis
5414,Ac frontal sinusitis,Acute frontal sinusitis
5415,Ac ethmoidal sinusitis,Acute ethmoidal sinusitis
5416,Ac sphenoidal sinusitis,Acute sphenoidal sinusitis
5417,Other acute sinusitis,Other acute sinusitis
5418,Acute sinusitis NOS,"Acute sinusitis, unspecified"
5419,Acute pharyngitis,Acute pharyngitis
5420,Acute tonsillitis,Acute tonsillitis
5421,Ac laryngitis w/o obst,Acute laryngitis without mention of obstruction
5422,Ac laryngitis w obstruct,Acute laryngitis with obstruction
5423,Ac tracheitis no obstruc,Acute tracheitis without mention of obstruction
5424,Ac tracheitis w obstruct,Acute tracheitis with obstruction
5425,Ac laryngotrach no obstr,Acute laryngotracheitis without mention of obstruction
5426,Ac laryngotrach w obstr,Acute laryngotracheitis with obstruction
5427,Ac epiglottitis no obstr,Acute epiglottitis without mention of obstruction
5428,Ac epiglottitis w obstr,Acute epiglottitis with obstruction
5429,Croup,Croup
5430,Supraglottis w/o obs NOS,"Supraglottitis unspecified, without obstruction"
5431,Supraglottis w obstr NOS,"Supraglottitis unspecified, with obstruction"
5432,Acute laryngopharyngitis,Acute laryngopharyngitis
5433,Acute uri mult sites NEC,Acute upper respiratory infections of other multiple sites
5434,Acute uri NOS,Acute upper respiratory infections of unspecified site
5435,Acute bronchitis,Acute bronchitis
5436,Acu broncholitis d/t RSV,Acute bronchiolitis due to respiratory syncytial virus (RSV)
5437,Acu brnchlts d/t oth org,Acute bronchiolitis due to other infectious organisms
5438,Deviated nasal septum,Deviated nasal septum
5439,Polyp of nasal cavity,Polyp of nasal cavity
5440,Polypoid sinus degen,Polypoid sinus degeneration
5441,Nasal sinus polyp NEC,Other polyp of sinus
5442,Nasal polyp NOS,Unspecified nasal polyp
5443,Chronic rhinitis,Chronic rhinitis
5444,Chronic pharyngitis,Chronic pharyngitis
5445,Chronic nasopharyngitis,Chronic nasopharyngitis
5446,Chr maxillary sinusitis,Chronic maxillary sinusitis
5447,Chr frontal sinusitis,Chronic frontal sinusitis
5448,Chr ethmoidal sinusitis,Chronic ethmoidal sinusitis
5449,Chr sphenoidal sinusitis,Chronic sphenoidal sinusitis
5450,Chronic sinusitis NEC,Other chronic sinusitis
5451,Chronic sinusitis NOS,Unspecified sinusitis (chronic)
5452,Chronic tonsillitis,Chronic tonsillitis
5453,Chronic adenoiditis,Chronic adenoiditis
5454,Chronic tonsils&adenoids,Chronic tonsillitis and adenoiditis
5455,Hypertrophy T and A,Hypertrophy of tonsil with adenoids
5456,Hypertrophy tonsils,Hypertrophy of tonsils alone
5457,Hypertrophy adenoids,Hypertrophy of adenoids alone
5458,Adenoid vegetations,Adenoid vegetations
5459,Chr T & A dis NEC,Other chronic disease of tonsils and adenoids
5460,Chr T & A dis NOS,Unspecified chronic disease of tonsils and adenoids
5461,Peritonsillar abscess,Peritonsillar abscess
5462,Chronic laryngitis,Chronic laryngitis
5463,Chr laryngotracheitis,Chronic laryngotracheitis
5464,Rhinitis due to pollen,Allergic rhinitis due to pollen
5465,Allergic rhinitis-food,Allergic rhinitis due to food
5466,Allerg rhinitis-cat/dog,Allergic rhinitis due to animal (cat) (dog) hair and dander
5467,Allergic rhinitis NEC,Allergic rhinitis due to other allergen
5468,Allergic rhinitis NOS,"Allergic rhinitis, cause unspecified"
5469,Hypertrph nasal turbinat,Hypertrophy of nasal turbinates
5470,Nasal mucositis (ulcer),Nasal mucositis (ulcerative)
5471,Nasal & sinus dis NEC,Other disease of nasal cavity and sinuses
5472,Disease of pharynx NOS,Unspecified disease of pharynx
5473,Cellulitis of pharynx,Cellulitis of pharynx or nasopharynx
5474,Parapharyngeal abscess,Parapharyngeal abscess
5475,Retropharyngeal abscess,Retropharyngeal abscess
5476,Edema pharynx/nasopharyx,Edema of pharynx or nasopharynx
5477,Cyst pharynx/nasopharynx,Cyst of pharynx or nasopharynx
5478,Disease of pharynx NEC,"Other diseases of pharynx, not elsewhere classified"
5479,Vocal cord paralysis NOS,"Paralysis of vocal cords or larynx, unspecified"
5480,Vocal paral unilat part,"Unilateral paralysis of vocal cords or larynx, partial"
5481,Vocal paral unilat total,"Unilateral paralysis of vocal cords or larynx, complete"
5482,Vocal paral bilat part,"Bilateral paralysis of vocal cords or larynx, partial"
5483,Vocal paral bilat total,"Bilateral paralysis of vocal cords or larynx, complete"
5484,Vocal cord/larynx polyp,Polyp of vocal cord or larynx
5485,Vocal cord disease NEC,Other diseases of vocal cords
5486,Edema of larynx,Edema of larynx
5487,Disease of larynx NOS,Unspecified disease of larynx
5488,Laryngeal cellulitis,Cellulitis and perichondritis of larynx
5489,Stenosis of larynx,Stenosis of larynx
5490,Laryngeal spasm,Laryngeal spasm
5491,Disease of larynx NEC,"Other diseases of larynx, not elsewhere classified"
5492,Urt hypersens react NOS,"Upper respiratory tract hypersensitivity reaction, site unspecified"
5493,Upper resp dis NEC/NOS,Other and unspecified diseases of upper respiratory tract
5494,Adenoviral pneumonia,Pneumonia due to adenovirus
5495,Resp syncyt viral pneum,Pneumonia due to respiratory syncytial virus
5496,Parinfluenza viral pneum,Pneumonia due to parainfluenza virus
5497,Pneumonia due to SARS,Pneumonia due to SARS-associated coronavirus
5498,Viral pneumonia NEC,Pneumonia due to other virus not elsewhere classified
5499,Viral pneumonia NOS,"Viral pneumonia, unspecified"
5500,Pneumococcal pneumonia,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
5501,K. pneumoniae pneumonia,Pneumonia due to Klebsiella pneumoniae
